End Date,,,,,,,,,,,Financials,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,,,,,,End Date,,,,,,
Span,,,,,,,,,,,,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,,,,,,Span,,,,,,
Start Date,,,,,,,,,,,,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,,,,,,Start Date,,,,,,
Frequency,,,,,,,,,,,Date,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ COP,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ XOM,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ CVX,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ EOG,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ BP,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ DVN,IQ_EBITDA growth IQ_CQ COP,IQ_EBITDA growth IQ_CQ XOM,IQ_EBITDA growth IQ_CQ CVX,IQ_EBITDA growth IQ_CQ EOG,IQ_EBITDA growth IQ_CQ BP,IQ_EBITDA growth IQ_CQ DVN,IQ_EBITDA growth IQ_LTM COP,IQ_EBITDA growth IQ_LTM XOM,IQ_EBITDA growth IQ_LTM CVX,IQ_EBITDA growth IQ_LTM EOG,IQ_EBITDA growth IQ_LTM BP,IQ_EBITDA growth IQ_LTM DVN,IQ_RETURN_INVESTED_CAPITAL IQ_CQ COP,IQ_RETURN_INVESTED_CAPITAL IQ_CQ XOM,IQ_RETURN_INVESTED_CAPITAL IQ_CQ CVX,IQ_RETURN_INVESTED_CAPITAL IQ_CQ EOG,IQ_RETURN_INVESTED_CAPITAL IQ_CQ BP,IQ_RETURN_INVESTED_CAPITAL IQ_CQ DVN,IQ_RETURN_INVESTED_CAPITAL IQ_LTM COP,IQ_RETURN_INVESTED_CAPITAL IQ_LTM XOM,IQ_RETURN_INVESTED_CAPITAL IQ_LTM CVX,IQ_RETURN_INVESTED_CAPITAL IQ_LTM EOG,IQ_RETURN_INVESTED_CAPITAL IQ_LTM BP,IQ_RETURN_INVESTED_CAPITAL IQ_LTM DVN,,,,,,Frequency,,,,,,
,EV/EBITDA-From Ifind,,,,,,Oil Price,Copper-Price Per Pound,,,9/30/2025 0:00,14.0483,-5.0814,-1.3539,-2.4436,2.4627,7.1108,0.049267173,-0.091388197,0.101811368,-0.015276894,0.165805658,-0.042651593,0.039924732,-0.073594114,-0.03235498,-0.106925881,-0.095762471,0.007619548,0.033844,0.042712,0.002124,0.102536,-0.003304,0.088696,0.063835,0.040422,0.002542,0.09459,-0.023582,0.088237,,Date,S&P PE,,,,PB,,,,,
,COP,XOM,CVX,EOG,BP,DVN,^cl,^HG,,,6/30/2025 0:00,2.1108,-11.6785,-10.571,-11.2525,-1.338,-0.6677,-0.072489796,-0.103729954,-0.133224021,-0.105826772,0.236238532,-0.022314478,0.004956233,-0.032848779,-0.102589179,-0.125333333,-0.248383102,0.036541293,0.044328,0.036264,-0.00996,0.095536,0.042888,0.123484,0.068652,0.04386,0.010983,0.10805,-0.029341,0.09682,,11/30/2025 0:00,30.61,,,,COP,XOM,CVX,EOG,BP,DVN
IQ_PRICEDATE,,,,,,,IQ_Closeprice,IQ_Closeprice,,,3/31/2025 0:00,18.5016,0.8046,-2.0121,0.017,-4.0838,21.6489,0.213308873,0.047861507,-0.195057784,-0.126123427,-0.154835391,0.236119974,0.053526578,0.043976165,-0.078621994,-0.080348353,-0.330440043,0.086694678,0.082648,0.043148,0.011384,0.106136,-0.015252,0.055464,0.07429,0.056849,0.021351,0.118146,-0.041839,0.093317,,10/31/2025 0:00,30.27,,,IQ_PRICEDATE,,,,,,
Date,EV/EBITDA-From Ifind COP,EV/EBITDA-From Ifind XOM,EV/EBITDA-From Ifind CVX,EV/EBITDA-From Ifind EOG,EV/EBITDA-From Ifind BP,EV/EBITDA-From Ifind DVN,Oil Price IQ_Closeprice,Copper-Price Per Pound IQ_Closeprice,,,12/31/2024 0:00,-3.1288,-1.5265,8.5666,-6.3707,-12.9156,17.6422,-0.0207145,-0.128196557,0.127350045,-0.171648164,-0.789324437,-0.107274401,-0.017977619,-0.031074809,-0.049695332,-0.048250265,-0.389442457,-0.012693747,0.071192,0.04062,0.0077,0.08624,-0.052536,0.083172,0.070402,0.058622,0.03161,0.126879,-0.030975,0.091608,,9/30/2025 0:00,29.59,,,IQ_PRICEDATE,,,,,,
10/31/2025 0:00,5.501608169,7.083576266,7.974203498,4.941641583,4.859834918,3.783352933,60.98,5.089,,,9/30/2024 0:00,-7.8973,-0.8785,-6.3648,-3.929,-11.2734,-5.7817,-0.091885824,0.072950972,-0.169318575,-0.09556707,-0.3634513,0.078116343,-0.040656149,0.12802141,-0.158880321,-0.029194928,-0.47139569,0.013446944,0.067448,0.05476,0.033936,0.136252,-0.029452,0.100516,0.085767,0.061747,0.026823,0.11076,-0.015098,0.101028,,8/31/2025 0:00,28.8,,,45961,1.691325473,1.85091038,1.67281715,1.896272765,1.576440205,1.327750945
9/30/2025 0:00,5.8058781,6.990962106,7.864958667,5.225708083,4.814966927,4.011424284,61.96,4.8565,,,6/30/2024 0:00,9.8722,12.1237,4.723,10.4178,-2.3585,11.2608,0.135731504,0.234264957,-0.034339436,0.102430556,-0.176668065,0.207393484,-0.126095917,-0.149592481,-0.205234829,-0.086294416,-0.288790151,-0.15352368,0.083272,0.069184,0.03174,0.141836,-0.003476,0.130536,0.092388,0.065376,0.038862,0.118309,0.017363,0.117466,,7/31/2025 0:00,28.3,,,45930,1.800387987,1.824852618,1.647043972,2.013182287,1.554803517,1.436660586
8/29/2025 0:00,6.112149049,7.082872994,6.782224131,5.38919273,4.937218703,4.129233288,64.01,4.5185,,,3/31/2024 0:00,-6.7995,-4.4808,-4.0561,4.6615,-13.0538,-1.1992,-0.072113897,-0.21752988,-0.080279986,0.00089955,-0.387098808,-0.180010466,-0.255935786,-0.337155328,-0.297619453,-0.159077883,-0.350901455,-0.309210526,0.095244,0.068704,0.053792,0.154064,0.028064,0.063312,0.084309,0.070964,0.048015,0.144822,0.030259,0.097575,,6/30/2025 0:00,27.83,,,45898,1.88507016,1.855519766,1.895375908,2.330901504,1.567398071,1.521665339
7/31/2025 0:00,5.917328861,6.928767817,6.43653346,5.178925689,4.648199249,3.879816644,69.26,4.3545,,,12/31/2023 0:00,-20.7968,-10.805,-15.4372,-6.9707,-26.2591,-12.1439,-0.098633473,-0.001390898,-0.315668556,-0.093419355,-0.724911669,-0.012278308,-0.291069997,-0.25981617,-0.265810225,-0.042709013,-0.205062197,-0.272550544,0.094252,0.059576,-0.011736,0.0072,0.010028,0.143716,0.080146,0.082682,0.053422,0.13227,0.07267,0.102903,,5/31/2025 0:00,26.82,,,45869,1.815929969,1.812496515,1.789631399,2.241265811,1.430367527,1.400269323
6/30/2025 0:00,5.616779811,6.705460693,6.110519379,5.160932454,4.455340869,3.762914052,65.11,5.0825,,,9/30/2023 0:00,-32.1499,-17.5618,-17.8523,-19.6279,-2.1133,-22.2609,-0.335393797,-0.526467559,-0.308703969,-0.258484525,2.270678617,-0.421474359,-0.258489742,-0.379557134,-0.147850254,-0.000883913,0.574144087,-0.276466622,0.089368,0.086984,0.079952,0.163444,0.098312,0.132348,0.069763,0.107791,0.076865,0.258166,0.152627,0.086159,,4/30/2025 0:00,24.78,,,45838,1.709267416,1.750153389,1.68990583,2.233595393,1.338929085,1.343370518
5/30/2025 0:00,5.38101911,6.390269556,5.908079102,4.605351065,4.341325693,3.724958527,60.79,4.6775,,,6/30/2023 0:00,-41.1437,-28.3384,-28.3116,-36.9058,-27.4858,-39.7728,-0.426581606,-0.478988026,-0.418182865,-0.243697479,-0.439788422,-0.486155827,-0.055553723,0.035272111,0.07357727,0.299472296,0.385126342,-0.009983174,0.054976,0.067352,0.070064,0.206972,0.049316,0.051108,0.094793,0.153491,0.10529,0.300112,0.12916,0.105513,,3/31/2025 0:00,27.04,,,45807,1.651594097,1.678121389,1.599609008,2.007592346,1.328279906,1.335850533
4/30/2025 0:00,5.585534851,6.586025953,5.883123933,4.682419834,4.18616918,3.738098363,58.21,4.609,,,3/31/2023 0:00,-15.8237,-4.2962,-5.0366,-17.3946,14.2657,-14.5891,-0.26038686,0.247597588,0.124259205,1.343640197,0.459372412,0.036896365,0.276584927,0.742833287,0.535079465,0.628941909,1.31693038,0.548928518,0.088424,0.123752,0.080096,0.126708,0.198964,0.089124,0.143444,0.198223,0.137199,0.280053,0.148247,0.159677,,2/28/2025 0:00,28.73,,,45777,1.72454676,1.732746455,1.592119983,2.040136902,1.25342152,1.342472396
3/31/2025 0:00,6.448081343,7.36787583,7.100858185,5.522606332,4.81878106,4.360109141,71.48,5.034,,,12/31/2022 0:00,23.7898,13.1567,18.1457,9.7018,36.0315,2.1706,0.080555556,0.152992495,0.313285729,0.058743169,1.029899404,-0.048875433,0.722205781,1.024205202,0.708105376,0.365040087,1.208005406,0.869525713,0.052364,0.1473,0.078512,0.30408,0.324568,0.072936,0.197472,0.170678,0.135184,0.088773,-0.04583,0.154273,,1/31/2025 0:00,28.45,,,45747,2.032225098,1.95091864,1.957561017,2.394930388,1.55863787,1.655936748
2/28/2025 0:00,6.220011951,6.917337678,6.650556844,5.453739436,4.550024049,4.331757162,69.76,4.548,,,9/30/2022 0:00,86.5456,48.9794,50.9776,45.1502,51.7922,36.3851,0.760082536,1.586377473,0.613581557,0.88987495,0.445760829,0.886336155,1.356026327,1.74398016,0.962506773,0.708532595,1.117293902,1.96007984,0.182744,0.271992,0.186516,0.217232,-0.097764,0.20418,0.217419,0.159647,0.13066,0.141847,-0.105996,0.194288,,12/31/2024 0:00,30.01,,,45716,1.945010465,1.826036452,1.833441484,2.395673344,1.491772026,1.621604581
1/31/2025 0:00,6.20799861,6.672023027,6.307893658,5.435755321,4.361593315,4.153356071,72.53,4.279,,,6/30/2022 0:00,123.6719,68.9032,83.5839,92.4031,85.8951,88.3152,1.017807337,1.569217029,1.270623611,0.83253128,2.144520421,2.594907407,1.91723607,1.985695918,1.278110446,0.766350785,0.835207483,3.259436216,0.246088,0.248068,0.198324,0.11042,0.226008,0.265924,0.195802,0.104817,0.102855,0.101191,-0.100074,0.178648,,11/30/2024 0:00,29.61,,,45688,1.940695964,1.757838039,1.732683866,2.38803633,1.402441877,1.531394868
12/31/2024 0:00,6.241446565,6.737331441,6.136079704,5.292250891,4.241583331,4.031682128,71.72,4.0265,,,3/31/2022 0:00,82.8307,52.5158,66.7556,66.6584,42.1743,72.6919,1.676776961,1.04430294,0.815664138,-0.243889479,0.191818381,1.722304284,3.312531624,1.849777919,2.168198758,1.257611241,0.284748691,6.214054054,0.2923,0.030388,0.080012,-0.092156,-0.557524,0.079656,0.155872,0.047957,0.05665,0.099649,-0.139112,0.112335,,10/31/2024 0:00,28.92,,,45657,1.952708547,1.775994028,1.682163223,2.327096696,1.34554824,1.469869619
11/29/2024 0:00,5.610100899,7.295751504,6.671775704,5.447230983,2.671303975,4.463563395,68,4.0805,,,12/31/2021 0:00,177.0665,79.3931,85.3584,104.6535,83.0349,200.2962,4.142857143,2.821770042,1.488238238,1.428666224,13.14492754,-0.26016,3.22375,1.602726845,1.56126723,1.019388367,0.742123122,2.950466619,0.124384,0.090224,0.057048,0.28758,0.057908,0.238028,0.102133,0.034848,0.030616,0.135398,0.019901,0.126248,,9/30/2024 0:00,28.07,,,45625,2.499746554,1.93023378,1.8629915,2.534393108,1.207110343,1.746119983
10/31/2024 0:00,5.666338987,7.225925167,6.169540204,4.970399289,2.684489025,4.527767037,69.26,4.34,,,9/30/2021 0:00,161.5923,57.8168,77.3221,126.5402,36.8638,229.376,3.69278169,2.921217547,1.810246679,1.555670103,-0.438461538,5.891666667,1.227550397,0.810998538,0.75655098,0.389916059,0.015352486,1.299672131,0.112436,0.053832,0.080684,0.041204,-0.087976,0.130664,0.044855,-0.087015,-0.001009,0.057007,0.014206,0.034246,,8/31/2024 0:00,27.96,,,45596,2.527434351,1.910924897,1.712162014,2.319485092,1.215961326,1.779708062
9/30/2024 0:00,5.466693773,7.251962106,6.110160721,5.032247396,2.828220531,4.57358325,68.17,4.553,,,6/30/2021 0:00,243.0644,104.0059,126.7801,271.2993,71.123,312.9032,22.42211055,1.45720556,-6.980453479,-24.34831461,0.084368737,-3.842105263,0.195192086,0.018872559,0.087891635,-0.0140866,-0.023989899,0.077200206,0.09464,0.017088,0.01146,0.101936,0.048892,0.006884,-0.004296,-0.116818,-0.036534,0.037397,0.051355,-0.020748,,7/31/2024 0:00,28.27,,,45565,2.429142673,1.918124819,1.69432939,2.34736003,1.312446747,1.803676773
8/30/2024 0:00,5.953115628,7.385913681,6.198982879,5.371745573,2.941383761,4.443732227,73.55,4.167,,,3/31/2021 0:00,55.632,4.1366,4.6153,16.3329,11.4429,80.2488,0.557251908,0.465938431,-0.166200912,-0.280305927,4.44358209,-0.408733624,-0.508904166,-0.335161358,-0.577176273,-0.509084636,-0.179714857,-0.682893384,0.028868,-0.017048,-0.024288,0.068848,0.086496,0.003384,-0.035438,-0.14278,-0.098313,-0.0305,-0.099041,-0.079548,,6/30/2024 0:00,27.64,,,45534,2.656319502,1.952225059,1.699322922,2.511985896,1.383537197,2.234183412
