Variable,Coefficient,Std Error,t-statistic,p-value,CI Lower (2.5%),CI Upper (97.5%)
const,11.612797205457232,0.6964548424007536,16.67415674134261,1.3694356518995776e-55,10.24620446900658,12.979389941907884
oil_price_mom,1.8268771522499003,2.7387401817038697,0.6670501876937205,0.5048858010118726,-3.5471143996508916,7.200868704150692
copper_price_mom,-0.1413887071773492,4.866503352728516,-0.029053449043259443,0.9768274520514814,-9.690504786012355,9.407727371657657
rev_growth_cq,3.3191106387500646,0.6108508774857946,5.433585775322474,6.856264674571602e-08,2.120491113973693,4.517730163526436
ebitda_growth_cq,0.2884041266439337,0.11735318319824938,2.45757395567806,0.014147739039538249,0.058132186534702646,0.5186760667531648
roic_ltm,-12.168197421606646,2.769616910024786,-4.393458668440088,1.2280680017650314e-05,-17.6027756908074,-6.7336191524058915
covid_dummy,3.7512253786476553,0.9167926582313657,4.091683484774351,4.6085511030734585e-05,1.9522829184998416,5.550167838795469
dummy_XOM,-3.8150773074312014,0.942611741381458,-4.047347534457783,5.558048146409794e-05,-5.664682307842362,-1.9654723070200402
dummy_CVX,-4.336569365788122,0.9428074851774694,-4.599634001603019,4.744919545199527e-06,-6.186558457217895,-2.48658027435835
dummy_EOG,-4.170533716881034,0.9504006259856445,-4.388184943118955,1.2576714063657417e-05,-6.035422167814906,-2.305645265947163
dummy_BP,-2.1272641396267,0.9484251879446887,-2.242943530671773,0.02510722549445682,-3.9882763603820677,-0.2662519188713319
dummy_DVN,-10.746842544546638,0.9541176832559967,-11.263644656361727,7.166486260386123e-28,-12.619024653528925,-8.874660435564351
