Variable,Coefficient,Std Error,t-statistic,p-value,CI Lower (2.5%),CI Upper (97.5%)
const,1.9735926908887012,0.0437403951019456,45.120595876851475,1.3753259563039346e-248,1.8877647195736498,2.0594206622037525
oil_price_mom,0.6018642421488491,0.17200480251721761,3.4991130092928815,0.0004862687464969354,0.26435418486447454,0.9393742994332237
copper_price_mom,0.7058379019445464,0.3056375897675256,2.309394935621046,0.021113915363871104,0.10611185406068058,1.3055639498284122
rev_growth_cq,0.3623526690171099,0.038364093553425634,9.445099191839356,2.2015601159151696e-20,0.28707414642130225,0.4376311916129175
ebitda_growth_cq,0.023122209774886597,0.007370290630571509,3.1372181822758933,0.0017528018655745508,0.008660129783383586,0.03758428976638961
roic_ltm,-0.5210824729624584,0.173943995432521,-2.995691065200377,0.002802142660470502,-0.8623976397690742,-0.1797673061558424
covid_dummy,-0.632957912553245,0.05757856885504731,-10.992942776099587,1.0853049577012582e-26,-0.745939328119674,-0.5199764969868159
dummy_XOM,0.12091675018301822,0.05920011964255002,2.0425085441231006,0.04134906018657369,0.004753506602660426,0.23707999376337602
dummy_CVX,-0.32266654275790185,0.05921241320482432,-5.449305733271696,6.29222432719047e-08,-0.43885390892580783,-0.20647917658999587
dummy_EOG,0.8382271671149235,0.059689295493228565,14.043174076497786,3.366674891063919e-41,0.7211040563275549,0.9553502779022921
dummy_BP,-0.6543143398163622,0.0595652293870716,-10.984837069365481,1.1763818856518548e-26,-0.7711940064790129,-0.5374346731537115
dummy_DVN,0.1286498868221615,0.05992274286658778,2.1469292069721857,0.03202611754490495,0.011068702567062425,0.24623107107726055
