Date,Year,Quarter,YearQuarter,Sales,Sales_lag1,Sales_lag4,Oil_Q_avg
2012-03-31,2012,1,2012Q1,15143,14921.0,16190.0,102.85666666666667
2012-06-30,2012,2,2012Q2,14259,15143.0,17633.0,92.12
2012-09-30,2012,3,2012Q3,14595,14259.0,16955.0,92.24000000000001
2012-12-31,2012,4,2012Q4,15881,14595.0,14921.0,88.99
2013-03-31,2013,1,2013Q1,14593,15881.0,15143.0,95.58999999999999
2013-06-30,2013,2,2013Q2,14047,14593.0,14259.0,93.99666666666667
2013-09-30,2013,3,2013Q3,14401,14047.0,14595.0,105.00333333333333
2013-12-31,2013,4,2013Q4,13702,14401.0,15881.0,95.83999999999999
2014-03-31,2014,1,2014Q1,16039,13702.0,14593.0,100.55333333333333
2014-06-30,2014,2,2014Q2,14694,16039.0,14047.0,102.60666666666667
2014-09-30,2014,3,2014Q3,12913,14694.0,14401.0,95.09666666666665
2014-12-31,2014,4,2014Q4,11689,12913.0,13702.0,66.65333333333334
2015-03-31,2015,1,2015Q1,7921,11689.0,16039.0,48.53333333333333
2015-06-30,2015,2,2015Q2,8551,7921.0,14694.0,59.800000000000004
2015-09-30,2015,3,2015Q3,7485,8551.0,12913.0,47.13666666666666
2015-12-31,2015,4,2015Q4,6262,7485.0,11689.0,41.76
2016-03-31,2016,1,2016Q1,4972,6262.0,7921.0,35.23666666666667
2016-06-30,2016,2,2016Q2,5428,4972.0,8551.0,47.78333333333333
2016-09-30,2016,3,2016Q3,6355,5428.0,7485.0,44.84666666666667
2016-12-31,2016,4,2016Q4,6990,6355.0,6262.0,50.00666666666666
2017-03-31,2017,1,2017Q1,7718,6990.0,4972.0,52.473333333333336
2017-06-30,2017,2,2017Q2,6959,7718.0,5428.0,47.89666666666667
2017-09-30,2017,3,2017Q3,6884,6959.0,6355.0,49.69
2017-12-31,2017,4,2017Q4,8317,6884.0,6990.0,57.4
2018-03-31,2018,1,2018Q1,9006,8317.0,7718.0,63.77
2018-06-30,2018,2,2018Q2,8769,9006.0,6959.0,69.92
2018-09-30,2018,3,2018Q3,9743,8769.0,6884.0,70.60333333333334
2018-12-31,2018,4,2018Q4,9973,9743.0,8317.0,53.88333333333333
2019-03-31,2019,1,2019Q1,9338,9973.0,9006.0,57.050000000000004
2019-06-30,2019,2,2019Q2,8126,9338.0,8769.0,58.626666666666665
2019-09-30,2019,3,2019Q3,8046,8126.0,9743.0,55.916666666666664
2019-12-31,2019,4,2019Q4,7836,8046.0,9973.0,56.803333333333335
2020-03-31,2020,1,2020Q1,6392,7836.0,9338.0,38.93333333333333
2020-06-30,2020,2,2020Q2,2826,6392.0,8126.0,32.46333333333334
2020-09-30,2020,3,2020Q3,4421,2826.0,8046.0,41.03333333333333
2020-12-31,2020,4,2020Q4,5577,4421.0,7836.0,43.21666666666667
2021-03-31,2021,1,2021Q1,9948,5577.0,6392.0,57.620000000000005
2021-06-30,2021,2,2021Q2,9695,9948.0,2826.0,67.79
2021-09-30,2021,3,2021Q3,11565,9695.0,4421.0,72.49333333333334
2021-12-31,2021,4,2021Q4,15452,11565.0,5577.0,74.98666666666666
2022-03-31,2022,1,2022Q1,18188,15452.0,9948.0,94.71666666666665
2022-06-30,2022,2,2022Q2,21685,18188.0,9695.0,108.37333333333333
2022-09-30,2022,3,2022Q3,21574,21685.0,11565.0,88.96333333333332
2022-12-31,2022,4,2022Q4,19128,21574.0,15452.0,82.44666666666667
2023-03-31,2023,1,2023Q1,15310,19128.0,18188.0,77.19666666666667
2023-06-30,2023,2,2023Q2,12763,15310.0,21685.0,71.83666666666666
2023-09-30,2023,3,2023Q3,14638,12763.0,21574.0,85.40666666666668
2023-12-31,2023,4,2023Q4,15150,14638.0,19128.0,76.21
2024-03-31,2024,1,2024Q1,14269,15150.0,15310.0,79.09333333333333
2024-06-30,2024,2,2024Q2,14023,14269.0,12763.0,80.15333333333334
2024-09-30,2024,3,2024Q3,13482,14023.0,14638.0,73.21
2024-12-31,2024,4,2024Q4,14676,13482.0,15150.0,69.66000000000001
2025-03-31,2025,1,2025Q1,16909,14676.0,14269.0,71.25666666666667
2025-06-30,2025,2,2025Q2,14319,16909.0,14023.0,61.370000000000005
2025-09-30,2025,3,2025Q3,15376,14319.0,13482.0,65.07666666666667
